00:00 Ca ff 2
01:00 Cg ff 2
02:20 @ ** Ca
03:45 ** Cg ff 2
04:50 @ Cg ff
05:30 Ca ff
06:00 Ca ff MB
06:20 Ca ff
06:40 Ca ff
07:00 Ca ff MB
07:18 Ca ff
07:36 Ca ff
07:54 Ca ff MB
08:10 Ca ff
08:28 Ca ff
08:50 Ca ff MB
09:00 Ca ff
09:17 Ca ff
09:35 Ca ff
09:50 Ca ff MB
10:10 Ca ff
10:27 Ca ff
10:45 Ca ff MB
11:00 Ca ff
11:15 Ca ff
11:30 Ca ff
11:50 Ca ff MB
12:05 Ca ff
12:30 Ca ff
12:50 Ca ff MB
13:10 Ca ff
13:30 Ca ff
13:50 Ca ff
14:15 Ca ff MB
14:35 Ca ff
14:55 Ca ff
15:15 Ca ff MB
15:35 Ca ff
16:00 Ca ff
16:17 Ca ff
16:34 Ca ff
16:50 Ca ff MB
17:05 Ca ff
17:20 Ca ff
17:38 Ca ff
17:55 Ca ff MB
18:10 Ca ff
18:25 Ca ff
18:40 Ca ff
18:55 Ca ff
19:10 Ca ff
19:30 Ca ff
19:50 Ca ff
20:05 Ca ff
20:25 Ca ff
20:55 Ca ff
21:30 Ca ff
21:55 Ca ff
22:30 Ca ff
22:55 Ca ff
23:15 Ca ff 2
